Sample,Time_us,Raw_u16,Voltage_V
583,583012,22117,1.113696
584,584008,34616,1.743081
585,585013,46651,2.349100
586,586010,53485,2.693225
587,587014,52540,2.645640
588,588010,44170,2.224170
589,589014,31495,1.585924
590,590011,19540,0.983932
591,591015,12771,0.643081
592,592011,13747,0.692227
593,593014,22101,1.112891
594,594014,34680,1.746303
595,595010,46635,2.348295
596,596014,53453,2.691614
597,597010,52492,2.643222
598,598014,44058,2.218530
599,599011,31527,1.587535
600,600015,19524,0.983127
601,601012,12723,0.640664
602,602008,13683,0.689004
603,603012,22117,1.113696
604,604009,34600,1.742275
605,605013,46651,2.349100
606,606009,53357,2.686780
607,607013,52396,2.638389
608,608009,44074,2.219336
609,609014,31415,1.581895
610,610013,19444,0.979098
611,611009,12483,0.628579
612,612013,13763,0.693033
613,613009,22181,1.116919
614,614013,34776,1.751138
615,615010,46699,2.351518
616,616014,53533,2.695642
617,617011,52508,2.644028
618,618015,44122,2.221753
619,619011,31543,1.588340
620,620008,19604,0.987155
621,621012,12819,0.645498
622,622008,13683,0.689004
623,623012,22261,1.120948
624,624008,34600,1.742275
625,625012,46603,2.346684
626,626009,53341,2.685974
627,627013,52460,2.641611
628,628009,44186,2.224976
629,629013,31559,1.589146
630,630010,19572,0.985544
631,631014,12771,0.643081
632,632010,13715,0.690616
633,633015,22133,1.114502
634,634013,34808,1.752749
635,635009,46731,2.353129
636,636013,53565,2.697253
637,637010,52572,2.647251
638,638014,44154,2.223364
639,639010,31607,1.591563
640,640014,19588,0.986349
641,641012,12771,0.643081
642,642010,13715,0.690616
643,643014,22149,1.115308
644,644010,34696,1.747109
645,645014,46619,2.347489
646,646010,53469,2.692419
647,647014,52508,2.644028
648,648011,44202,2.225782
649,649010,31511,1.586729
650,650008,19540,0.983932
651,651012,12771,0.643081
652,652008,13699,0.689810
653,653012,22053,1.110474
654,654008,34616,1.743081
655,655012,46603,2.346684
656,656009,53389,2.688391
657,657014,52460,2.641611
658,658011,44090,2.220142
659,659015,31495,1.585924
660,660011,19540,0.983932
661,661008,12739,0.641469
662,662012,13699,0.689810
663,663008,21973,1.106445
664,664012,34696,1.747109
665,665011,46587,2.345878
666,666014,53389,2.688391
667,667011,52444,2.640806
668,668015,44026,2.216919
669,669011,31527,1.587535
670,670015,19492,0.981515
671,671011,12723,0.640664
672,672008,13667,0.688199
673,673015,22037,1.109668
674,674012,34616,1.743081
675,675008,46507,2.341849
676,676012,53373,2.687585
677,677009,52588,2.648057
678,678013,44202,2.225782
679,679009,31655,1.593980
680,680013,19572,0.985544
681,681012,12771,0.643081
682,682009,13667,0.688199
683,683013,22149,1.115308
684,684009,34664,1.745498
685,685013,46619,2.347489
686,686010,53405,2.689196
687,687014,52652,2.651280
688,688010,44106,2.220948
689,689009,31527,1.587535
690,690014,19476,0.980709
691,691011,12579,0.633413
692,692015,13555,0.682559
693,693011,21909,1.103223
694,694015,34696,1.747109
695,695011,46747,2.353934
696,696008,53517,2.694836
697,697015,52620,2.649668
698,698012,44106,2.220948
